train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
160,,mAP50_95_B,3,0.08093,0.011833423004355,0.0515341476557876,0.1103258523442123,0.08691,0.0673,0.08858,lodo_domain,United_States
320,,precision_B,3,0.3776333333333333,0.2370075324400752,-0.2111260159699473,0.966392682636614,0.36381,0.14784,0.62125,lodo_domain,China_Drone
320,,recall_B,3,0.2312233333333333,0.0361053241687889,0.1415327359706741,0.3209139306959925,0.22155,0.20094,0.27118,lodo_domain,China_Drone
320,,mAP50_B,3,0.2433433333333333,0.1026956875108849,-0.0117668968465833,0.49845356351325,0.23661,0.14418,0.34924,lodo_domain,China_Drone
320,,mAP50_95_B,3,0.1205866666666666,0.0790613966062662,-0.0758127301866089,0.3169860635199423,0.09001,0.06138,0.21037,lodo_domain,China_Drone
320,,precision_B,3,0.24284,0.071527304576644,0.0651563252813066,0.4205236747186934,0.20357,0.19955,0.3254,lodo_domain,China_MotorBike
320,,recall_B,3,0.24722,0.0325035582667498,0.1664766851434925,0.3279633148565074,0.26566,0.20969,0.26631,lodo_domain,China_MotorBike
320,,mAP50_B,3,0.1689366666666666,0.0240727363075603,0.1091366745800346,0.2287366587532986,0.16571,0.14664,0.19446,lodo_domain,China_MotorBike
320,,mAP50_95_B,3,0.0555566666666666,0.016200433121782,0.0153125598021587,0.0958007735311746,0.04651,0.0459,0.07426,lodo_domain,China_MotorBike
320,,precision_B,3,0.23265,0.0240141541595784,0.172995534036405,0.292304465963595,0.22711,0.21189,0.25895,lodo_domain,Czech_Republic
320,,recall_B,3,0.2127233333333333,0.0442387684427735,0.1028281403232492,0.3226185263434174,0.22818,0.16283,0.24716,lodo_domain,Czech_Republic
320,,mAP50_B,3,0.1644866666666666,0.018218038679653,0.1192305497484144,0.2097427835849189,0.16758,0.14492,0.18096,lodo_domain,Czech_Republic
320,,mAP50_95_B,3,0.0566,0.0082711607407908,0.0360532976838526,0.0771467023161473,0.05644,0.04841,0.06495,lodo_domain,Czech_Republic
320,,precision_B,3,0.25039,0.0501807622500894,0.1257340760901755,0.3750459239098246,0.27399,0.19276,0.28442,lodo_domain,India
320,,recall_B,3,0.0925333333333333,0.0206264740887368,0.041294331189061,0.1437723354776056,0.08531,0.07649,0.1158,lodo_domain,India
320,,mAP50_B,3,0.0626133333333333,0.0111209591912448,0.0349873392155255,0.0902393274511411,0.06416,0.0508,0.07288,lodo_domain,India
320,,mAP50_95_B,3,0.0269233333333333,0.0039375288358732,0.0171419694610362,0.0367046972056304,0.02597,0.02355,0.03125,lodo_domain,India
320,,precision_B,3,0.3062866666666666,0.0871895827110861,0.0896957361822829,0.5228775971510503,0.26612,0.24642,0.40632,lodo_domain,Japan
320,,recall_B,3,0.2704133333333333,0.0130850079607669,0.2379083715994389,0.3029182950672277,0.26479,0.26108,0.28537,lodo_domain,Japan
320,,mAP50_B,3,0.2109666666666666,0.0337051039656211,0.1272385468272014,0.2946947865061318,0.21087,0.17731,0.24472,lodo_domain,Japan
320,,mAP50_95_B,3,0.0810233333333333,0.013989868953401,0.0462705722837447,0.1157760943829219,0.0828,0.06623,0.09404,lodo_domain,Japan
320,,precision_B,3,0.1680766666666666,0.0793843620200687,-0.0291250207506267,0.36527835408396,0.20575,0.07687,0.22161,lodo_domain,Norway
